,neighbourhood_group,neighbourhood,rentabilidade
190,Brooklyn,Brooklyn Heights,3744.3253843134753
191,Brooklyn,Fort Greene,3745.591067830996
192,Manhattan,Civic Center,3788.430474857958
193,Manhattan,Chinatown,3825.815942726001
194,Brooklyn,Boerum Hill,3937.2198011281125
195,Manhattan,Theater District,4041.2837009923587
196,Brooklyn,Windsor Terrace,4086.1939463371423
197,Brooklyn,DUMBO,4423.413417764855
198,Manhattan,Upper West Side,4441.147133740242
199,Manhattan,West Village,4484.553034507597
200,Manhattan,Kips Bay,4563.258567094856
201,Manhattan,Gramercy,4604.7284417162955
202,Manhattan,SoHo,4619.315140496844
203,Brooklyn,Cobble Hill,4652.042439808651
204,Brooklyn,South Slope,4700.523362859005
205,Brooklyn,Carroll Gardens,5080.2561589430825
206,Brooklyn,Park Slope,5241.988201682192
207,Manhattan,East Village,5281.477762449336
208,Manhattan,Lower East Side,5470.22720085359
209,Manhattan,Flatiron District,5649.280640135187
210,Manhattan,NoHo,5696.318017700617
211,Brooklyn,Gowanus,5992.410793296243
212,Manhattan,Chelsea,6064.518440902599
213,Manhattan,Greenwich Village,6139.157036323125
214,Manhattan,Tribeca,7120.669827560251
215,Manhattan,Nolita,7499.068617550966
216,Manhattan,Roosevelt Island,14897.288433306318
